brand,frag_name,size,price,fill_percent,status
,Rogue Perfumery Absolue de Mousse,30.0,,,
,SDV,100.0,,,SOLD
,Bal D’Afrique Absolu 50mL - $255 🚢 SOLD,50.0,,,SOLD
,Riviera Maya,50.0,,,
,EDP,60.0,,,
,Le Beau EDT,125.0,,,
Byredo,Alto Astral 50ml full Pres- $150,50.0,,,
,Louis Vuitton California Dream 200ML,50.0,,75.0,
,LV is a bargain as it goes for £260 for 100ML,100.0,,,
,Aventus Absolu,100.0,,,
,* **Zimaya Reverie Aqua** (Valentino Uomo Born in Roma Intense clone) – EDP 100ml,100.0,,,
YSL,EDP,90.0,,,
Tom Ford,* **Maison Alhambra Opulence Leather** ( Ombre Leather clone) – EDP 100ml,100.0,,,
,60ml,60.0,,,
,Maison Crivelli Ambre,50.0,,,
,JPG Scandal Absolu 100ml - $70 - SOLD,100.0,,,SOLD
,(SOLD)D&G Light Blue Italian Love EDT 100ml -- 45$,100.0,,,SOLD
,Light Blue Eau Intense,100.0,,,SOLD
YSL,Eau de Parfum Intense,100.0,,,
,Bvlgari Pour Homme EDT 100ml -- 70$,100.0,,,
,Gucci Guilty Black Pour Homme 50ml -- 60$,50.0,,,
,Issey Miyake Le Sel D'issey EDT 100ml -- 40$,100.0,,,
,SOLD)Ralph Lauren Men's,75.0,,,SOLD
,SOLD)Ralph Lauren Men's,125.0,,,SOLD
,(SOLD)Bvlgari Aqva Pour Homme 100ml -- 85$,100.0,,,SOLD
,(SOLD)Issey Miyake Pour Homme EDT 125ml -- 30$,125.0,,,SOLD
,(SOLD)Issey Miyake Pour Homme Intense EDT 125ml -- 20$,125.0,,,SOLD
Chanel,(SOLD)Allure Homme Sport Superleggera  100ml -- 150$,100.0,,,SOLD
YSL,Y Le Parfum Yves (2021) 100ml -- 110$,100.0,,,
,- ~~PDM Herod 125ml - $120~~,125.0,,,
Chanel,- ~~ BDC Parfum 100ml - $50~~,100.0,,,
,- Guess Iconic EDP 2025 100ml ( smells like sauvage edp) few sprays missing - full pres - $45,100.0,,,
YSL,EDP,100.0,,,
Armani,- Giorgio  Acqua di gio 100ml - $30,100.0,,,
,- Ahmed Maghribi Kaaf 100ml - $30,100.0,,,
,- Vince Camuto Homme 100ml - $20,100.0,,,
,- Givenchy Pi 50ml - $20,50.0,,,
,100mL - Around 85% Full,100.0,,,
,40/50ml Matsukita no pres: $150 shipped,4050.0,,,
,Alexandria Green Envy (Greenly) 30ml full presentation 99% full - $30,30.0,,,
,Alexandria Visionary (Imagination) 30ml full presentation 99% full - $30,30.0,,,
,SOLD,105.0,,,SOLD
,New Bottles Co.,11.0,,,
,Rivera Parfums Aries,30.0,,,
,Pur Oud,100.0,,,
,SOLD*** Selling Valentino Coral Fantasy 100ml,100.0,,,SOLD
,Absolu,100.0,,,
,75mL(≈70mL left) Full Presentation- $50,7570.0,,,
,125mL(≈120mL left) - $65,125120.0,,,
,50mL BNIB - $180,50.0,,,
,50mL BNIB - $180,50.0,,,
,100mL(≈10 sprays missing) - $75,10010.0,,,
,90mL(≈85mL left) - $115,9085.0,,,
,90mL(≈85mL left) Full Presentation- $35,9085.0,,,
,50mL(≈30 sprays missing) - $65,5030.0,,,
,40mL(≈25mL left) - $55,4025.0,,,
,250mls of Another 13 $580,250.0,,,
,120mls of Prodigy $330,120.0,,,
,Erba Gold 50mL 95% full,50.0,,,
,Ocean EDP,100.0,,,
,Wanted by Night 100ml 97% full,100.0,,,
,Untold is a 105ml bottle,105.0,,,
Xerjoff,Tony Iommy Monkey Special 100ml Tester w/ box - $180🚢,100.0,,,
,Valentino Green Stravaganza 100ml - $80 🚢,100.0,,,
,Valentino Uomo Noir Absolu,100.0,,,
,Bvlgari Man Extreme 100ml (Discontinued) - $145🚢,100.0,,,
Armani,🚢,60.0,,,
,Initio Rehab New Tester 90ml (no box) - $165 🚢,90.0,,,
,Jimmy Choo Man 100ml (full pres) - $28,100.0,,,
,Varvatos XX Artisan,100.0,,,
Armani,Code 75ml see level,75.0,,,
Creed,Vibrato,100.0,,,
,50ml - $120,50.0,,,
,~~Nishane Hacivat 100ml bottle 99 percent full - $130 shipped SOLD~~,100.0,,,SOLD
Byredo,Gypsy Water 100ml bottle 99 percent full - $125 shipped,100.0,,,
Byredo,~~ Mojave Ghost 100ml bottle 99 percent full - $140 shipped Traded~~,100.0,,,
,* Interlude 53 100ml BNIB - $215,100.0,,,
,* Jubilation 40 100ml BNIB - $279,100.0,,,
,* Reflection 100ml BNIB - $186,100.0,,,
,* Beach Hut 100ml BNIB - $239,100.0,,,
,* Purpose 100ml BNIB - $170,100.0,,,
,Royal Tobacco,100.0,,,
Amouage,*  Woods Symphony 100ml BNIB - $165,100.0,,,
Armani,*  Code EDT 100ml No Box - $63,100.0,,,
Armani,*  Stronger With You Intensely 100ml BNIB - $85,100.0,,,
Armani,*  Stronger With You Absolutely 100ml BNIB - $90,100.0,,,
,* Love Triumphs Over War  100ml BNIB - $175,100.0,,,
,* Triumph of Bacchus 100ml BNIB - $199,100.0,,,
,* Pallas of Athene 100ml BNIB - $180,100.0,,,
,* Hard Candy 50ml BNIB - $220,50.0,,,
,* Hard Candy 2025 100ml BNIB - $400,100.0,,,
,* Hard Candy Elixir 2025 100ml BNIB - $480,100.0,,,
,* Amazonia 50ml BNIB - $200,50.0,,,
,* Aurora 50ml BNIB - $185,50.0,,,
,* Blue Fever 2025 100ml BNIB - $325,100.0,,,
,* Notorious 50ml BNIB - $205,50.0,,,
,* Bois Eternal 50ml BNIB - $195,50.0,,,
,* Onyx  50ml BNIB - $205,50.0,,,
,* Onyx air  50ml BNIB - $205,50.0,,,
,* Slut  50ml BNIB - $205,50.0,,,
,* Slut Elixir 2025 100ml BNIB - $350,100.0,,,
,* Supernova 50ml BNIB - $210,50.0,,,
,* The Most Wanted Intense EDP 100ml BNIB - $62,100.0,,,
,* The Most Wanted Parfum 100ml BNIB - $70,100.0,,,
,* Forever Wanted Elixir 100ml BNIB - $105,100.0,,,
,* Dubai Gold 100ml Tester w Cap - $190,100.0,,,
,* Lafayette Street 100ml BNIB - $219,100.0,,,
,* Lafayette Street 100ml Tester wo Cap - $189,100.0,,,
,* New York Nights 100ml BNIB - $219,100.0,,,
,* Scent of Peace Natural 100ml Tester wo Cap - $158,100.0,,,
,* Ardent 100ml BNIB - $159,100.0,,,
,* Blue Sapphire 100ml BNIB - $449,100.0,,,
,* Nemer 100ml BNIB - $279,100.0,,,
,* Man in Black Parfum 100ml BNIB - $86,100.0,,,
,* 212 VIP Black 200ml No Box - $79,200.0,,,
,* Absolu Aventus  75ml BNIB - $285,75.0,,,
,* Himalaya 100ml Tester wo Cap - $155,100.0,,,
,* Millisime Imperial 100ml Tester wo Cap - $155,100.0,,,
,* Original Vetiver 100ml BNIB - $179,100.0,,,
,* Original Vetiver 100ml Tester wo Cap - $155,100.0,,,
,* Virgin Island Water 100ml BNIB - $209,100.0,,,
,* The One Mysterious Night 100ml BNIB - $225,100.0,,,
,* The Mint 50ml BNIB - $75,50.0,,,
,* The Rose 50ml BNIB - $80,50.0,,,
,* The Incense 50ml BNIB - $85,50.0,,,
,* Office for Men 100ml BNIB - $60,100.0,,,
,* Date for Men 100ml BNIB - $60,100.0,,,
,* Club for Men 100ml BNIB - $75,100.0,,,
,* Black Tie for Men 100ml BNIB - $80,100.0,,,
,* Most Masculine 100ml BNIB - $120,100.0,,,
,* Day for Women  10ml Traveller - $25,10.0,,,
,* Portrait of a Lady 100ml BNIB - $219,100.0,,,
,* Portrait of a Lady 100ml No Box - $194,100.0,,,
,* Rose & Cuir 100ml BNIB - $160,100.0,,,
,* Carnal Flower 100ml BNIB - $200,100.0,,,
,* Vulcan Feu 100ml BNIB - $45,100.0,,,
,* Ambree 100ml BNIB - $97,100.0,,,
,* Boisee 100ml BNIB - $75,100.0,,,
,* Reserve Privee 100ml BNIB - $84,100.0,,,
,* Boss Bottled Absolu 50ml BNIB - $64,50.0,,,
,* Boss Bottled Bold Citrus 100ml Tester w Cap - $70,100.0,,,
,* Absolute Aphrodisiac 90ml BNIB - $195,90.0,,,
,* Atomic Rose 90ml BNIB - $189,90.0,,,
,* Hi Frequency 90ml BNIB - $139,90.0,,,
,* Hi Frequency 90ml BNIB No Cellophane - $134,90.0,,,
,* Hi Frequency 90ml No Box - $130,90.0,,,
,* Musk Therapy 90ml BNIB - $205,90.0,,,
,Greatness,90.0,,,
,Greatness Neo,90.0,,,
,* Psychedelic Love 90ml BNIB - $165,90.0,,,
,* Psychedelic Love 90ml Tester w Cap - $150,90.0,,,
,* Paragon 90ml BNIB - $194,90.0,,,
,* Powershelf 90ml BNIB - $205,90.0,,,
,* Rehab 90ml BNIB - $189,90.0,,,
,* Side Effect 90ml BNIB - $205,90.0,,,
,* Scandal Le Parfum 200ml No Box Refill - $79,200.0,,,
,* Scandal Le Parfum 100ml No Box - $79,100.0,,,
,* Le Male Elixir 125ml No Box - $89,125.0,,,
,* Le Male Le Parfum 125ml No Box - $89,125.0,,,
,* Le Beau Paradise Garden 125ml No Box - $89,125.0,,,
,* Le Beau Le Parfum 125ml No Box - $89,125.0,,,
,* Le Male Le Parfum 200ml No Box - $105,200.0,,,
,* Angel's Share 250ml BNIB - $510,250.0,,,
,* Angel's Share 100ml BNIB - $265,100.0,,,
,* Angel's Share 50ml BNIB - $169,50.0,,,
,* Old Fashioned 50ml BNIB - $180,50.0,,,
,* Irish Leather 75ml BNIB - $110,75.0,,,
,* Blockade 100ml BNIB - $229,100.0,,,
,* Blockade 100ml Tester w Cap - $219,100.0,,,
,* French Defense 100ml Tester w Cap - $219,100.0,,,
,* Opera Mate 100ml BNIB - $235,100.0,,,
,* Lionora 100ml Tester w Cap - $219,100.0,,,
,* Kingside 100ml BNIB - $325,100.0,,,
,* Mentor 100ml BNIB - $325,100.0,,,
,* Queening 100ml Tester w Cap - $209,100.0,,,
,* Queening 100ml No Box - $219,100.0,,,
,* Arabians Tonka 100ml BNIB - $95,100.0,,,
,* Hacivat 100ml BNIB - $159,100.0,,,
,* Wulong Cha 100ml BNIB - $154,100.0,,,
,* 1 Million Parfum 100ml No Box - $65,100.0,,,
,* 1 Million Elixir 100ml No Box - $75,100.0,,,
,Invictus,200.0,,,
,* Invictus Parfum 100ml No Box - $76,100.0,,,
,* Invictus Victory Extreme 100ml No Box - $65,100.0,,,
,* Invictus Victory Extreme 200ml No Box - $85,200.0,,,
,* Invictus Platinum 100ml No Box - $90,100.0,,,
,* Phantom Intense 200ml No Box Refill - $87,200.0,,,
,* Carlisle 125ml BNIB - $205,125.0,,,
,* Castley 125ml BNIB - $215,125.0,,,
,* Delina 75ml Tester w Cap - $176,75.0,,,
,* Godolphin 125ml BNIB - $140,125.0,,,
,* Godolphin 125ml Tester w Cap - $125,125.0,,,
,* Greenley 125ml BNIB - $193,125.0,,,
,* Haltane 125ml BNIB - $193,125.0,,,
,* Herod 125ml BNIB - $175,125.0,,,
,* Layton 125ml BNIB - $190,125.0,,,
,* Oajan 125ml BNIB - $190,125.0,,,
,* Percival 125ml BNIB - $185,125.0,,,
,* Percival 200ml BNIB - $240,200.0,,,
,* Percival 125ml Tester w Cap - $170,125.0,,,
,* Pegasus 125ml BNIB - $155,125.0,,,
,* Pegasus 125ml Tester w Cap - $150,125.0,,,
,* Pegasus 200ml BNIB - $189,200.0,,,
,* Pegasus Exclusif 125ml BNIB - $159,125.0,,,
,* Sedley 125ml BNIB - $190,125.0,,,
,* Valaya 75ml Tester w Cap - $180,75.0,,,
,* Valaya Exclusif 75ml BNIB - $230,75.0,,,
,* Valaya Exclusif 75ml Tester w Cap - $205,75.0,,,
,* Perseus 125ml BNIB - $175,125.0,,,
,* Halfeti 100ml BNIB - $185,100.0,,,
,* Halfeti Cedar  100ml BNIB - $190,100.0,,,
,* Amber Pour Homme 100ml No Box - $69,100.0,,,
,* L'Homme Intense EDP 100ml No Box - $84,100.0,,,
,* L'Homme Intense EDP 100ml Tester w Cap - $84,100.0,,,
,* Luna Rossa Black 100ml BNIB - $80,100.0,,,
,* Luna Rossa Carbon 100ml BNIB - $76,100.0,,,
,* Luna Rossa Sport 100ml BNIB - $76,100.0,,,
,* Luna Rossa Sport 100ml No Box - $69,100.0,,,
,* Luna Rossa Ocean Le Parfum 100ml BNIB - $94,100.0,,,
,* God of Fire 50ml BNIB - $185,50.0,,,
,* Mango Kiss 50ml BNIB - $185,50.0,,,
,* Noir 100ml BNIB - $110,100.0,,,
,* Myrrhe Mystere 100ml BNIB - $340,100.0,,,
,* Born in Roma Extradose 100ml BNIB - $125,100.0,,,
,* Spicebomb Extreme 90ml BNIB - $70,90.0,,,
,* Naxos 100ml BNIB - $175,100.0,,,
,* Erba Pura 100ml No Box - $144,100.0,,,
,* Silverlake 100ml BNIB - $31,100.0,,,
,* Turathi Blue 90ml BNIB - $27,90.0,,,
,* Turathi Electric 90ml BNIB - $36,90.0,,,
,* 9PM Rebel 100ml BNIB - $32,100.0,,,
,* Turathi Purple(W) 90ml BNIB - $27,90.0,,,
,* Turathi Electric 90ml BNIB - $34,90.0,,,
,* Club De Nuit Precieux Extrait 55ml BNIB - $50,55.0,,,
,Club De Nuit Intense Limited Edition,105.0,,,
,* Coolwater Intense 125ml BNIB - $35,125.0,,,
,* Azzure Aoud 100ml BNIB - $35,100.0,,,
,* Habik 100ml BNIB - $35,100.0,,,
,* Power Up Fresh EDT Spray 100ml No Box - $25,100.0,,,
,* Desire EDT 30ml No Box - $10,30.0,,,
YSL,MF EDP Travel,10.0,,,
,de Parfum,30.0,,,
,The Scent Of Peace 100ML - $135,100.0,,,
,**Kajal Faris 100ML - $69**,100.0,,,
,Louis Vuitton Meteore,30.0,,,
,~~**Roja Burlington,100.0,,,
,**Aaron Terence Hughes Haze 50ML - $189**,50.0,,,
,**Aaron Terence Hughes Notorious 45/50ML - $189**,4550.0,,,
Armani,** Code EDP 2024 50ML - $49**,50.0,,,
,Parfums Orange X Santal 100ML,100.0,,,
,Parfums Divine Vanille,100.0,,,
,**Mansa Pernoire 50ML - $169**,50.0,,,
,**FragranceOne Date For Men 100ML - $55**,100.0,,,
,**Eight & Bob Cap Dantibes 30ML - $65**,30.0,,,
,~~Versace Dylan Blue 100ml 98% full. -$60~~,100.0,,,
,~~Gucci Guilty EDP tester 100ml test sprays only. - $75.~~,100.0,,,
,Like title says. See pictures for levels. Both 100ml bottles. $90 shipped for both.,100.0,,,
