author,flair,brand,frag_name,size,price,fill_percent,status
parfumpapi,nan,,Raees Noire,100.0,35.0,98.0,AVAILABLE
parfumpapi,nan,Initio,Oud for Greatness,100.0,35.0,98.0,AVAILABLE
parfumpapi,nan,Afnan,Rare Reef,100.0,25.0,98.0,AVAILABLE
parfumpapi,nan,Louis Vuitton,Pacific Chill,100.0,25.0,98.0,AVAILABLE
parfumpapi,nan,,Where sun never sets,34.0,35.0,99.0,AVAILABLE
parfumpapi,nan,Tom Ford,Soleil Blanc,34.0,35.0,99.0,AVAILABLE
parfumpapi,nan,,Le Prestige Royal,100.0,20.0,98.0,AVAILABLE
parfumpapi,nan,,Hibiscus Mahajad,100.0,20.0,98.0,AVAILABLE
r_u_afraid,Legacy:0/Buys:3/Sales:1,Hermès,Terre d’Hermès EDT,50.0,110.0,95.0,LISTED
r_u_afraid,Legacy:0/Buys:3/Sales:1,Mancera,Cedrat Boise,120.0,110.0,98.0,LISTED
r_u_afraid,Legacy:0/Buys:3/Sales:1,Jean Paul Gaultier,Scandal Homme Le Parfum Intense Refill (EDP),200.0,110.0,83.0,LISTED
asam11,Legacy:0/Buys:8/Sales:50,Amouage,Bracken Man,,,,LISTED
asam11,Legacy:0/Buys:8/Sales:50,Amouage,Imitation Man (Pre 2020),,,,LISTED
asam11,Legacy:0/Buys:8/Sales:50,Xerjoff,Duran Duran Black Moonlight,,,,LISTED
DangerousKing1041,Legacy:0/Buys:1/Sales:6,,SDV,100.0,165.0,,SOLD
DangerousKing1041,Legacy:0/Buys:1/Sales:6,Byredo,Bal D’Afrique Absolu,50.0,255.0,,SOLD
DangerousKing1041,Legacy:0/Buys:1/Sales:6,,Riviera Maya,50.0,185.0,,AVAILABLE
DangerousKing1041,Legacy:0/Buys:1/Sales:6,Yves Saint Laurent,Y EDP,60.0,85.0,,AVAILABLE
DangerousKing1041,Legacy:0/Buys:1/Sales:6,Jean Paul Gaultier,Le Beau EDT,125.0,85.0,,AVAILABLE
hburt1313,Legacy:0/Buys:0/Sales:11,Byredo,Alto Astral,50.0,150.0,100.0,AVAILABLE
kiwington,nan,,Widian London,50.0,215.9,75.0,AVAILABLE
kiwington,nan,,Widian Sahara,50.0,215.9,75.0,AVAILABLE
kiwington,nan,Louis Vuitton,California Dream,200.0,381.0,75.0,AVAILABLE
photographer2001,Legacy:0/Buys:9/Sales:19,,,,150.0,99.0,LISTED
r_u_afraid,Legacy:0/Buys:3/Sales:1,Afnan,Supremacy Collector's Edition,100.0,,83.0,LISTED
r_u_afraid,Legacy:0/Buys:3/Sales:1,,Reverie Aqua,100.0,,98.0,LISTED
r_u_afraid,Legacy:0/Buys:3/Sales:1,,Ebene,90.0,,92.0,LISTED
r_u_afraid,Legacy:0/Buys:3/Sales:1,,Opulence Leather,100.0,,88.0,LISTED
Kanyeburner,Legacy:0/Buys:0/Sales:9,Yves Saint Laurent,Myslf L’Absolu,60.0,150.0,,LISTED
tutman00,Legacy:5/Buys:1/Sales:41,,Ambre Chromatique,50.0,160.0,,AVAILABLE
tutman00,Legacy:5/Buys:1/Sales:41,Jean Paul Gaultier,Scandal Absolu,100.0,70.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,Dolce & Gabbana,Light Blue Italian Love EDT,100.0,45.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,Dolce & Gabbana,Light Blue Eau Intense tester,100.0,45.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,Yves Saint Laurent,Eau de Parfum Intense,100.0,75.0,,AVAILABLE
Mineiac,Legacy:0/Buys:11/Sales:62,Bvlgari,Pour Homme EDT,100.0,70.0,,AVAILABLE
Mineiac,Legacy:0/Buys:11/Sales:62,Gucci,Guilty Black Pour Homme,50.0,60.0,,AVAILABLE
Mineiac,Legacy:0/Buys:11/Sales:62,,Le Sel D'issey EDT,100.0,40.0,,AVAILABLE
Mineiac,Legacy:0/Buys:11/Sales:62,Ralph Lauren,Men's Polo 67 EDT,75.0,30.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,Ralph Lauren,Men's Polo 67 EDP,125.0,95.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,Bvlgari,Aqva Pour Homme,100.0,85.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,,Pour Homme EDT,125.0,30.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,,Pour Homme Intense EDT,125.0,20.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,Chanel,Allure Homme Sport Superleggera,100.0,150.0,,SOLD
Mineiac,Legacy:0/Buys:11/Sales:62,Yves Saint Laurent,Y Le Parfum Yves (2021),100.0,110.0,,LISTED
buttflap69420,Legacy:0/Buys:8/Sales:8,Parfums de Marly,Herod,125.0,120.0,,SOLD
buttflap69420,Legacy:0/Buys:8/Sales:8,Chanel,Bleu de Chanel Parfum,100.0,50.0,,SOLD
buttflap69420,Legacy:0/Buys:8/Sales:8,,Guess Iconic EDP 2025,100.0,45.0,,SOLD
buttflap69420,Legacy:0/Buys:8/Sales:8,Yves Saint Laurent,Y EDP (2019 batch),100.0,95.0,,AVAILABLE
buttflap69420,Legacy:0/Buys:8/Sales:8,Giorgio Armani,Acqua di Gio,100.0,30.0,,AVAILABLE
buttflap69420,Legacy:0/Buys:8/Sales:8,,Ahmed Maghribi Kaaf,100.0,30.0,,AVAILABLE
buttflap69420,Legacy:0/Buys:8/Sales:8,,Vince Camuto Homme,100.0,20.0,,AVAILABLE
buttflap69420,Legacy:0/Buys:8/Sales:8,Givenchy,Pi,50.0,20.0,,AVAILABLE
Big_Estate9575,Legacy:0/Buys:17/Sales:51,Creed,Viking,100.0,215.0,85.0,LISTED
Budder_Pad,Legacy:0/Buys:16/Sales:31,,Matsukita no pres,50.0,150.0,80.0,LISTED
muffinman3666,Legacy:0/Buys:7/Sales:1,Acqua di Parma,Fico Di Amalfi,177.0,100.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,Green Envy (Greenly),30.0,30.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,Visionary (Imagination),30.0,30.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,Al Haramain Perfumes,Aqua Dubai,74.0,20.0,95.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,Armani,Code Parfum,74.0,40.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Albert Einstein Quantum,98.0,25.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,Afnan,Supremacy Not Only Intense,100.0,20.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,Armaf,Club De Nuit Intense Man Limited Edition,105.0,40.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,Hugo Boss,Boss Bottled No. 6 Tester,101.0,25.0,95.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,Coach,For Men EDP,100.0,60.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,Dior,Homme Sport 2017 (decant),100.0,100.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,Dior,Sauvage EDP,59.0,40.0,60.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,Dolce & Gabbana,The One EDT Tester,97.0,25.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,Celerio Oros,100.0,30.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,Spectre Wraith,80.0,15.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,L'eau D'issey Pour Homme,124.0,25.0,95.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,Lattafa,Emeer,100.0,15.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,Lattafa,His Confession,100.0,30.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,Loewe,Esencia EDT,100.0,40.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Hiccup Body Spray,198.0,40.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,Glacier Bold,101.0,15.0,90.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,MM,Jazz Club,101.0,50.0,95.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Afternoon Dive,50.0,30.0,95.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Alcantra Supreme,50.0,40.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Buko Intense,50.0,30.0,95.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Eau Vanille,50.0,30.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Harmony,50.0,30.0,95.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Pineapple Musk,50.0,35.0,95.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Explorer Tester,59.0,20.0,90.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,11ml pressurized bottles (bundle only),11.0,50.0,,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,Khair Pistachio,100.0,15.0,99.0,AVAILABLE
muffinman3666,Legacy:0/Buys:7/Sales:1,,Rifaaqat,83.0,20.0,99.0,SOLD
muffinman3666,Legacy:0/Buys:7/Sales:1,,Aries EDP (Aventus clone),30.0,20.0,99.0,AVAILABLE
katanahibana,Legacy:0/Buys:8/Sales:1,,Pur Oud,100.0,975.0,97.0,LISTED
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,Dior,Eau Sauvage Parfum 2017,100.0,100.0,,AVAILABLE
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,Dior,Sauvage Parfum,100.0,95.0,99.0,AVAILABLE
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,,Acqua Neroli,100.0,35.0,,AVAILABLE
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,Dolce & Gabbana,Light Blue Forever,,70.0,,AVAILABLE
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,,Carved Oud,100.0,135.0,,AVAILABLE
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,Hugo Boss,Boss Bottled,,30.0,,AVAILABLE
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,Hugo Boss,Boss Infinite,,30.0,,AVAILABLE
Acrobatic_Force7954,Legacy:0/Buys:1/Sales:4,Hugo Boss,Boss Tonic,,30.0,,AVAILABLE
joimaiveer,Legacy:0/Buys:4/Sales:7,Valentino,Coral Fantasy,100.0,75.0,92.5,SOLD
Impossible_Smile6527,Legacy:0/Buys:7/Sales:20,Creed,Absolu Aventus,100.0,300.0,95.0,LISTED
MasterHeavyD,Legacy:0/Buys:2/Sales:1,Al Haramain Perfumes,Amber Oud Aqua Dubai,75.0,50.0,93.0,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,Dolce & Gabbana,Light Blue,125.0,65.0,96.0,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,,Himeros,50.0,180.0,100.0,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,,Infinity,50.0,180.0,100.0,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,,Insurrection Collector - Dominant,100.0,75.0,,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,,Maison Rouge,90.0,115.0,94.0,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,,Shuhrah Pour Homme,90.0,35.0,94.0,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,Tom Ford,Oud Minerale,50.0,65.0,,AVAILABLE
MasterHeavyD,Legacy:0/Buys:2/Sales:1,Yves Saint Laurent,Myself EDP,40.0,55.0,63.0,AVAILABLE
Yessahblessah37,Legacy:0/Buys:1/Sales:27,Le Labo,Another 13,250.0,580.0,,AVAILABLE
Yessahblessah37,Legacy:0/Buys:1/Sales:27,,Prodigy,120.0,330.0,,AVAILABLE
krithik_s,nan,Xerjoff,Erba Gold,50.0,,95.0,LISTED
krithik_s,nan,,Ocean EDP,100.0,,95.0,LISTED
krithik_s,nan,Azzaro,Wanted by Night,100.0,,97.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Le Labo,Santal 33,50.0,130.0,98.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Le Labo,The Matcha 26,50.0,120.0,90.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Kilian,Love by Kilian Special Blend 2023,50.0,170.0,98.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Kilian,Apple Brandy,50.0,140.0,97.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Armani,Armani Blanc Kogane,98.0,130.0,100.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Armani,Pivoine Suzhou,100.0,105.0,96.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,BR540 extrait,71.0,240.0,99.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,BR540 extrait,71.0,180.0,80.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,BR540 extrait,71.0,230.0,98.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Br540 extrait,,240.0,,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,BR 540 extrait,71.0,120.0,50.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,BR 540 extrait,71.0,105.0,45.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,BR 540 extrait,71.0,140.0,65.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,BR 540 extrait,71.0,120.0,50.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Grand soir,71.0,145.0,99.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Oud Silk Mood Extrait de Parfum,71.0,175.0,99.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Gentle Fluidity Gold,71.0,140.0,96.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Gentle Fluidity Gold,,130.0,88.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Baccarat Rouge 540 EDP,71.0,170.0,98.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Baccarat Rouge 540 EDP,198.0,390.0,97.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Aqua Universalis Cologne Forte,198.0,260.0,98.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Gentle Fluidity Gold,198.0,280.0,96.5,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,,Oud,198.0,305.0,90.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Maison Francis Kurkdjian,Aqua Celestia Cologne Forte,71.0,140.0,98.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Lost Cherry,50.0,130.0,96.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Cherry Smoke,30.0,110.0,99.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Vanilla Sex,50.0,125.0,96.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Fucking Fabulous,50.0,135.0,97.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Oud Wood,50.0,130.0,99.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Noir de Noir,50.0,130.0,98.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Black Orchid Parfum,50.0,80.0,100.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Tom Ford,Cafe Rose,50.0,80.0,,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Creed,Carmina,74.0,160.0,92.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,,Wind flowers,75.0,135.0,94.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Creed,Aqua fiorentina,74.0,150.0,98.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,,Royale princess oud,74.0,120.0,95.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,,Eladaria,74.0,175.0,96.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,,Queen of silk,74.0,155.0,99.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Creed,Green Irish Tweed,101.0,145.0,88.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Creed,Aventus,101.0,170.0,,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Creed,Aventus Cologne,50.0,135.0,95.0,SOLD
aaprules,Legacy:6/Buys:6/Sales:130,Penhaligon's,A Balm of Calm,101.0,170.0,95.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,Penhaligon's,A Kiss of Bliss,101.0,185.0,95.0,AVAILABLE
aaprules,Legacy:6/Buys:6/Sales:130,,Dancing on the moon,,85.0,87.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Armani,Rose d'arabie,98.0,190.0,99.0,LISTED
aaprules,Legacy:6/Buys:6/Sales:130,Lancôme,Oud bouquet,101.0,135.0,96.0,LISTED
LigmaNutzNChill,MODERATOR,,,,100.0,,SOLD
worldrallyx,Legacy:0/Buys:3/Sales:2,,Amber Oud Ruby,60.0,27.0,75.0,LISTED
worldrallyx,Legacy:0/Buys:3/Sales:2,Elizabeth Arden,Untold,105.0,30.0,98.0,LISTED
worldrallyx,Legacy:0/Buys:3/Sales:2,,"Aquarius (Aventus dupe, came with no label)",,25.0,50.0,LISTED
worldrallyx,Legacy:0/Buys:3/Sales:2,,Carter,,25.0,95.0,LISTED
ElCrimsonChin,Legacy:0/Buys:3/Sales:29,,,,280.0,98.5,LISTED
DocHoliday_21,Legacy:0/Buys:5/Sales:0,Xerjoff,Tony Iommy Monkey Special,100.0,180.0,,AVAILABLE
DocHoliday_21,Legacy:0/Buys:5/Sales:0,Valentino,Green Stravaganza,100.0,80.0,,AVAILABLE
DocHoliday_21,Legacy:0/Buys:5/Sales:0,Valentino,Uomo Noir Absolu,100.0,250.0,,AVAILABLE
DocHoliday_21,Legacy:0/Buys:5/Sales:0,Bvlgari,Man Extreme,100.0,145.0,,AVAILABLE
DocHoliday_21,Legacy:0/Buys:5/Sales:0,Armani,Code Absolu,60.0,85.0,,AVAILABLE
DocHoliday_21,Legacy:0/Buys:5/Sales:0,Initio,Rehab,90.0,165.0,,AVAILABLE
DocHoliday_21,Legacy:0/Buys:5/Sales:0,Jimmy Choo,Man,100.0,28.0,100.0,AVAILABLE
DocHoliday_21,Legacy:0/Buys:5/Sales:0,,XX Artisan,100.0,28.0,100.0,AVAILABLE
GangstaSalad,Legacy:9/Buys:3/Sales:11,Giorgio Armani,Code,75.0,,,AVAILABLE
GangstaSalad,Legacy:9/Buys:3/Sales:11,Prada,Luna Rossa EDP,100.0,,,AVAILABLE
leosslammin,Legacy:0/Buys:2/Sales:0,,Sangri,,110.0,,AVAILABLE
leosslammin,Legacy:0/Buys:2/Sales:0,,Idilios,,150.0,,AVAILABLE
leosslammin,Legacy:0/Buys:2/Sales:0,,430 Kings Rd,,,,AVAILABLE
NoActuator7480,Legacy:0/Buys:3/Sales:16,,,,120.0,,SOLD
NoActuator7480,Legacy:0/Buys:3/Sales:16,,,,165.0,,AVAILABLE
NoActuator7480,Legacy:0/Buys:3/Sales:16,Creed,Aventus,100.0,,80.0,SOLD
NoActuator7480,Legacy:0/Buys:3/Sales:16,,,,170.0,,AVAILABLE
meridius85,Legacy:0/Buys:18/Sales:46,,,100.0,130.0,95.0,LISTED
musicandarts,Legacy:0/Buys:3/Sales:15,,Eden-Roc,7.5,20.0,,LISTED
NoActuator7480,Legacy:0/Buys:3/Sales:16,,Loumari Porthole,100.0,319.0,,SOLD
hburt1313,Legacy:0/Buys:0/Sales:11,,,50.0,120.0,,LISTED
lookitsnicolas,nan,Nishane,Hacivat,100.0,130.0,99.0,SOLD
lookitsnicolas,nan,Byredo,Gypsy Water,100.0,125.0,99.0,SOLD
lookitsnicolas,nan,Byredo,Mojave Ghost,100.0,140.0,99.0,SOLD
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Amouage,Interlude 53,100.0,215.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Amouage,Jubilation 40,100.0,279.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Amouage,Reflection,100.0,186.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Amouage,Beach Hut,100.0,239.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Amouage,Purpose,100.0,170.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Amouage,Royal Tobacco,100.0,199.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Amouage,Woods Symphony,100.0,165.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Giorgio Armani,Code EDT,100.0,63.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Armani,Stronger With You Intensely,100.0,85.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,Armani,Stronger With You Absolutely,100.0,90.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Love Triumphs Over War,100.0,175.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Triumph of Bacchus,100.0,199.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Pallas of Athene,100.0,180.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Hard Candy,50.0,220.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Hard Candy 2025,100.0,400.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Hard Candy Elixir 2025,100.0,480.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Amazonia,50.0,200.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Aurora,50.0,185.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Blue Fever 2025,100.0,325.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Notorious,50.0,205.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Bois Eternal,50.0,195.0,100.0,AVAILABLE
Master-Professor4554,Legacy:0/Buys:61/Sales:303,,Onyx,50.0,205.0,100.0,AVAILABLE
